year,weather,share_pct,n_days
2012,drizzle,8.469945355191257,31
2013,drizzle,4.10958904109589,15
2014,drizzle,0.0,0
2015,drizzle,1.9178082191780823,7
2012,fog,1.366120218579235,5
2013,fog,4.383561643835616,16
2014,fog,7.671232876712329,28
2015,fog,14.246575342465754,52
2012,rain,52.18579234972678,191
2013,rain,43.28767123287671,158
2014,rain,40.54794520547945,148
2015,rain,39.45205479452055,144
2012,snow,5.737704918032787,21
2013,snow,0.821917808219178,3
2014,snow,0.547945205479452,2
2015,snow,0.0,0
2012,sun,32.240437158469945,118
2013,sun,47.397260273972606,173
2014,sun,51.23287671232877,187
2015,sun,44.38356164383562,162
